ID,Full Name,Owner CTU ID,Owned,Founder Lines
CTC1111,H15-M3 Kassy,CTU2,No,Legacy Red Line; Polish Line; Legacy Brindle Line; Legacy Merle Line 2
CTC1112,H15-M2,CTU2,No,Legacy Red Line; Polish Line; Legacy Brindle Line; Legacy Merle Line 2
CTC1115,I15-M4,CTU2,No,Legacy Red Line; Legacy Brindle Line; Legacy Merle Line 2; Broken Line
CTC1116,I15-F4,CTU2,No,Legacy Red Line; Legacy Brindle Line; Legacy Merle Line 2; Broken Line
CTC1117,I15-F1,CTU2,No,Legacy Red Line; Legacy Brindle Line; Legacy Merle Line 2; Broken Line
CTC1118,I15-F3,CTU2,No,Legacy Red Line; Legacy Brindle Line; Legacy Merle Line 2; Broken Line
CTC1119,I15-M3,CTU2,Yes,Legacy Red Line; Legacy Brindle Line; Legacy Merle Line 2; Broken Line
CTC112,MM Journey,CTU1,No,Legacy Brindle Line; Legacy Merle Line 2; Broken Line
CTC1120,I15-M2,CTU2,Yes,Legacy Red Line; Legacy Brindle Line; Legacy Merle Line 2; Broken Line
CTC1121,I15-M1,CTU2,No,Legacy Red Line; Legacy Brindle Line; Legacy Merle Line 2; Broken Line
CTC1122,I15-F2,CTU2,No,Legacy Red Line; Legacy Brindle Line; Legacy Merle Line 2; Broken Line
CTC1123,RM Fergie,CTU2,No,Legacy Red Line; Polish Line
CTC1124,RM Marten Sable,CTU2,No,Legacy Red Line; Polish Line
CTC1125,RM BEW,CTU2,No,
CTC113,MM Kenzie,CTU2,No,Legacy Red Line; Legacy Brindle Line; Legacy Merle Line 2; Broken Line
CTC114,MM Lexi,CTU2,Yes,Legacy Red Line; Legacy Brindle Line; Legacy Merle Line 2
CTC115,MM Lottie,CTU2,Yes,Legacy Red Line; Legacy Brindle Line; Legacy Merle Line 2
CTC116,M3 Mavi,CTU2,No,
CTC117,M3 Navy,CTU1,No,
CTC118,MM Myrrh,CTU2,Yes,Legacy Red Line
CTC1189,SLM's Ice Queen,,Yes,Legacy Red Line; Polish Line
CTC119,MM Manisha,CTU2,No,Legacy Red Line
CTC120,MM Meadow,CTU2,No,Legacy Red Line
CTC121,MM Melina,CTU2,No,Legacy Red Line
CTC122,MM Primrose,CTU2,No,Legacy Red Line; Polish Line
CTC123,MM Marla,CTU2,No,Legacy Brindle Line
CTC1236,MD Joep,,Yes,
CTC124,MM Ursula,CTU2,No,Legacy Red Line; Polish Line
CTC1247,MM J15-M2,CTU2,No,Legacy Red Line; Legacy Brindle Line; Legacy Merle Line 2
CTC1248,MM J15-F2,CTU2,No,Legacy Red Line; Legacy Brindle Line; Legacy Merle Line 2
CTC1249,MM J15-F1,CTU2,No,Legacy Red Line; Legacy Brindle Line; Legacy Merle Line 2
CTC125,MM Ultima,CTU2,No,Legacy Red Line; Polish Line
CTC1250,MM J15-M3,CTU2,No,Legacy Red Line; Legacy Brindle Line; Legacy Merle Line 2
